Hari ke,Jumlah subscribers
1,3
2,13
3,20
4,23
5,27
6,35
7,41
8,44
9,48
10,52
11,58
12,60
13,68
14,72
15,75
16,77
17,79
18,86
19,94
20,103
21,108
22,109
23,113
24,115
25,124
26,127
27,130
28,133
29,136
30,141
31,143
32,148
33,156
34,158
35,167
36,169
37,175
38,183
39,192
40,196
41,198
42,201
43,204
44,205
45,209
46,214
47,221
48,228
49,233
50,238
51,240
52,242
53,244
54,248
55,258
56,260
57,269
58,273
59,280
60,285
61,288
62,292
63,293
64,295
65,301
66,309
67,316
68,319
69,327
70,327
71,329
72,338
73,346
74,352
75,359
76,365
77,368
78,373
79,374
80,375
81,381
82,384
83,393
84,397
85,406
86,415
87,416
88,421
89,423
90,425
91,429
92,430
93,431
94,438
95,441
96,442
97,451
98,461
99,466
100,471
101,471
102,473
103,480
104,489
105,498
106,503
107,511
108,511
109,516
110,520
111,522
112,527
113,528
114,533
115,543
116,553
117,560
118,565
119,575
120,580
121,587
122,589
123,596
124,605
125,608
126,617
127,618
128,624
129,625
130,630
131,631
132,641
133,641
134,649
135,649
136,650
137,656
138,659
139,662
140,672
141,675
142,678
143,685
144,689
145,695
146,698
147,702
148,705
149,712
150,714
151,723
152,728
153,735
154,744
155,751
156,753
157,759
158,763
159,765
160,772
161,778
162,787
163,789
164,793
165,802
166,805
167,807
168,812
169,820
170,829
171,834
172,842
173,846
174,854
175,855
176,859
177,860
178,868
179,868
180,869
181,878
182,884
183,893
184,895
185,902
186,906
187,909
188,918
189,928
190,931
191,936
192,944
193,953
194,959
195,962
196,968
197,970
198,979
199,988
200,997
201,1001
202,1003
203,1004
204,1012
205,1018
206,1027
207,1028
208,1038
209,1043
210,1049
211,1052
212,1054
213,1060
214,1063
215,1069
216,1078
217,1088
218,1091
219,1099
220,1099
221,1107
222,1116
223,1125
224,1133
225,1134
226,1135
227,1142
228,1147
229,1155
230,1158
231,1166
232,1169
233,1175
234,1177
235,1186
236,1192
237,1198
238,1199
239,1201
240,1209
241,1214
242,1218
243,1225
244,1231
245,1232
246,1233
247,1234
248,1236
249,1241
250,1243
251,1253
252,1259
253,1264
254,1268
255,1273
256,1276
257,1280
258,1289
259,1299
260,1299
261,1308
262,1311
263,1317
264,1327
265,1332
266,1340
267,1349
268,1353
269,1353
270,1360
271,1367
272,1367
273,1372
274,1376
275,1380
276,1389
277,1398
278,1399
279,1406
280,1416
281,1423
282,1431
283,1434
284,1436
285,1437
286,1440
287,1449
288,1452
289,1459
290,1462
291,1464
292,1470
293,1474
294,1477
295,1481
296,1481
297,1489
298,1498
299,1504
300,1511
301,1517
302,1525
303,1532
304,1540
305,1548
306,1551
307,1552
308,1555
309,1563
310,1572
311,1577
312,1587
313,1588
314,1596
315,1605
316,1614
317,1620
318,1627
319,1629
320,1637
321,1639
322,1645
323,1652
324,1662
325,1671
326,1680
327,1687
328,1694
329,1695
330,1697
331,1701
332,1711
333,1717
334,1726
335,1730
336,1740
337,1746
338,1750
339,1753
340,1758
341,1766
342,1768
343,1770
344,1780
345,1788
346,1789
347,1792
348,1794
349,1801
350,1806
351,1814
352,1823
353,1827
354,1836
355,1843
356,1848
357,1852
358,1854
359,1863
360,1863
361,1867
362,1870
363,1874
364,1877
365,1881
366,1889
367,1896
368,1905
369,1915
370,1915
371,1918
372,1927
373,1928
374,1933
375,1940
376,1944
377,1953
378,1955
379,1961
380,1966
381,1975
382,1980
383,1983
384,1991
385,2000
386,2002
387,2003
388,2006
389,2010
390,2012
391,2018
392,2027
393,2029
394,2035
395,2042
396,2052
397,2052
398,2057
399,2066
400,2074
401,2079
402,2080
403,2083
404,2084
405,2085
406,2089
407,2091
408,2094
409,2101
410,2111
411,2114
412,2121
413,2124
414,2131
415,2134
416,2137
417,2138
418,2140
419,2142
420,2142
421,2145
422,2150
423,2156
424,2164
425,2171
426,2180
427,2186
428,2195
429,2200
430,2210
431,2214
432,2221
433,2224
434,2227
435,2232
436,2238
437,2243
438,2248
439,2249
440,2249
441,2254
442,2254
443,2262
444,2269
445,2270
446,2274
447,2277
448,2277
449,2281
450,2284
451,2285
452,2288
453,2290
454,2291
455,2292
456,2301
457,2303
458,2311
459,2317
460,2320
461,2329
462,2331
463,2337
464,2341
465,2347
466,2355
467,2364
468,2371
469,2378
470,2382
471,2386
472,2389
473,2393
474,2399
475,2399
476,2404
477,2404
478,2406
479,2409
480,2417
481,2421
482,2429
483,2430
484,2433
485,2438
486,2443
487,2448
488,2451
489,2455
490,2456
491,2463
492,2464
493,2474
494,2477
495,2486
496,2487
497,2493
498,2498
499,2502
500,2504
